"Daily Weather Observations for Melbourne, Victoria for December 2020"
"Prepared at 13:01 UTC on Wednesday 17 March 2021   IDCJDW3050.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,16.8,26.2,0,8.8,3.5,NW,65,10:30,23.5,47,7,N,17,1003.1,20.2,69,7,WSW,7,1006.0
,2020-12-2,11.9,18.6,0.2,7.2,11.3,S,33,09:55,14.7,50,5,W,11,1022.8,17.7,41,7,S,13,1023.6
,2020-12-3,10.6,23.7,0,6.6,12.5,SSW,26,15:35,15.1,53,1,N,6,1023.4,22.9,36,1,SW,9,1018.3
,2020-12-4,11.4,22.9,0,7.0,12.2,SSW,26,15:35,15.6,56,1,WSW,13,1017.9,21.7,42,1,S,9,1015.5
,2020-12-5,13.9,28.4,0,7.6,2.1,N,63,13:35,17.8,56,7,NNE,9,1003.1,25.7,32,8,NNW,30,994.9
,2020-12-6,12.9,20.5,1.4,9.4,6.9,NNW,52,13:57,14.4,56,7,NNW,15,1001.9,18.0,45,6,NW,24,1001.8
,2020-12-7,11.3,17.3,2.6,7.6,5.6,WNW,43,12:52,14.2,54,6,NW,11,1005.1,14.6,58,7,W,9,1006.1
,2020-12-8,10.6,17.1,6.0,5.0,4.0,S,30,11:06,12.4,68,7,SW,9,1018.1,15.2,57,7,SSW,9,1018.4
,2020-12-9,11.7,21.5,0,4.0,13.2,S,30,17:01,15.2,65,1,SSW,9,1020.3,20.3,51,1,SSW,15,1017.5
,2020-12-10,13.1,17.7,0.6,7.4,10.2,SSW,41,15:37,15.3,67,7,SSE,19,1024.7,16.9,49,1,SSW,22,1026.2
,2020-12-11,9.6,21.1,0,8.2,13.5,SSW,43,14:07,16.1,53,1,S,11,1030.1,20.7,51,0,SSW,19,1026.5
,2020-12-12,11.9,28.1,0,8.0,12.1,SE,33,16:25,18.5,52,1,NE,9,1028.2,25.4,42,7,S,13,1023.5
,2020-12-13,16.0,30.2,0,10.8,10.4,NNW,35,08:21,22.0,44,7,N,20,1022.2,28.6,31,7,NNE,13,1018.0
,2020-12-14,17.7,33.7,0,13.0,13.4,NNW,48,10:10,24.7,40,1,N,20,1016.9,32.3,24,1,NNE,17,1012.9
,2020-12-15,20.4,33.5,0,16.6,8.8,NNW,39,08:42,26.6,44,5,N,22,1013.1,20.7,77,7,S,17,1013.0
,2020-12-16,15.8,24.6,0,9.2,5.1,SSE,41,18:49,17.0,69,8,SSE,9,1015.9,20.1,74,7,SW,15,1012.2
,2020-12-17,15.5,25.7,0,5.0,9.9,S,33,17:22,20.2,70,1,W,4,1005.8,23.2,66,4,SSW,13,
,2020-12-18,12.5,18.4,7.6,7.2,7.6,SSW,41,12:25,14.1,86,7,WSW,9,1012.6,17.0,57,7,S,19,1014.2
,2020-12-19,12.3,19.9,0.2,8.0,8.7,SSW,37,15:16,15.4,65,6,SSE,9,1019.4,19.0,51,6,SSW,19,1017.1
,2020-12-20,9.9,18.9,0,10.6,11.4,SSW,33,13:44,16.1,56,1,SE,9,1017.2,18.1,51,1,SSW,15,1015.5
,2020-12-21,11.2,21.5,0,7.4,0.7,SSW,30,17:18,14.1,73,7,NNE,4,1010.5,19.6,65,7,SSW,6,1006.1
,2020-12-22,13.8,20.4,13.2,2.6,1.1,SSW,50,18:53,15.5,89,7,W,7,1004.4,17.1,80,7,SSW,15,1005.3
,2020-12-23,13.5,19.5,6.0,4.8,6.4,W,28,00:48,16.2,66,7,SW,7,1019.3,18.0,52,7,S,13,1018.9
,2020-12-24,13.4,18.7,1.0,5.0,7.1,SSW,35,15:10,14.8,70,7,SSW,9,1019.7,17.4,48,7,SSW,15,1019.6
,2020-12-25,13.6,20.0,0,6.2,7.8,S,41,15:42,16.0,57,7,ESE,17,1021.8,17.7,51,7,SSW,15,1018.9
,2020-12-26,10.2,27.4,0,6.8,12.9,SSW,24,13:15,16.6,73,1,N,7,1015.9,23.9,39,2,S,9,1012.4
,2020-12-27,16.2,31.9,0,11.4,0.5,S,70,16:57,23.9,38,7,NNE,2,1005.4,31.5,23,7,NW,11,1000.9
,2020-12-28,11.5,17.8,3.2,8.4,6.7,S,37,13:28,15.4,43,6,SSE,13,1013.1,16.9,51,7,SSW,19,1012.9
,2020-12-29,9.0,21.3,0,6.4,10.6,SSW,31,17:10,15.2,65,7,SSW,7,1017.4,19.6,47,1,SSW,17,1016.9
,2020-12-30,13.7,21.4,0,7.4,9.0,SSW,35,13:31,18.1,68,7,S,11,1019.6,20.4,68,7,SSW,19,1018.7
,2020-12-31,15.5,21.2,0,7.2,0.2,S,35,15:48,16.2,79,8,SSE,11,1021.4,18.6,77,8,SSW,13,1019.8
