"Daily Weather Observations for Melbourne, Victoria for February 2020"
"Prepared at 13:01 UTC on Saturday 13 March 2021   IDCJDW3050.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,23.5,29.3,0.8,11.8,0.0,SSW,28,14:33,28.9,65,8,N,7,1006.7,19.0,100,8,S,13,1009.0
,2020-02-2,14.2,25.1,14.8,4.4,9.0,NNW,31,10:55,16.8,63,5,NW,9,1012.4,22.9,47,6,WNW,11,1010.2
,2020-02-3,13.2,17.7,0,6.8,8.7,S,46,11:23,13.2,81,7,SW,17,1013.1,16.9,50,4,SSW,20,1016.6
,2020-02-4,11.3,19.7,0,7.0,11.9,S,43,16:06,15.4,50,1,SSE,9,1023.2,18.4,48,1,SSW,19,1021.0
,2020-02-5,10.8,20.1,0,7.2,11.8,S,35,16:48,15.4,66,2,ESE,6,1022.0,18.9,57,2,SSW,17,1019.9
,2020-02-6,13.7,25.5,0,5.8,8.0,SSW,30,15:38,16.5,76,7,N,9,1021.0,24.6,56,5,SSW,15,1018.6
,2020-02-7,16.5,23.2,0,5.4,6.1,S,30,18:16,19.7,95,8,W,6,1022.2,21.4,80,2,SSW,11,1021.4
,2020-02-8,17.4,29.4,0,3.0,11.8,ESE,50,16:58,21.8,78,3,SE,11,1022.6,28.9,41,1,SE,20,1019.0
,2020-02-9,19.6,28.2,0,8.8,2.1,SE,48,14:34,21.8,63,7,SE,13,1018.6,26.2,49,7,SE,19,1015.4
,2020-02-10,18.5,27.7,0.6,6.4,1.2,ESE,31,11:29,19.5,87,7,SSE,15,1011.9,27.3,57,7,ESE,15,1008.0
,2020-02-11,19.5,25.9,0,3.0,5.9,SSW,30,16:08,21.1,86,7,NNE,6,1009.0,25.4,65,7,SSW,13,1008.6
,2020-02-12,19.1,27.7,0,4.8,4.7,SSE,39,17:19,20.1,93,8,SE,7,1013.5,23.6,77,6,SSW,19,1012.9
,2020-02-13,19.4,31.7,0,4.4,12.0,SSE,35,02:25,22.7,73,4,ESE,4,1013.3,29.9,52,2,SSW,9,1009.7
,2020-02-14,20.3,33.7,0,7.2,4.5,NNW,31,11:04,24.2,77,6,NE,7,1007.6,24.2,81,7,WSW,19,1006.0
,2020-02-15,18.9,19.3,5.4,5.8,0.0,SSW,37,18:40,19.0,100,8,SSW,11,1009.8,18.0,100,8,SSW,9,1011.3
,2020-02-16,16.9,26.4,2.8,0.2,8.2,ESE,31,18:36,18.3,80,7,SE,6,1014.2,24.6,57,4,SE,11,1012.4
,2020-02-17,15.2,25.6,0,4.0,12.4,SSW,28,14:24,17.8,80,1,NNE,6,1013.1,24.3,63,1,SSW,15,1009.8
,2020-02-18,17.6,21.8,0,5.4,2.5,SW,52,17:27,19.7,90,7,SE,4,1005.6,18.1,99,7,WSW,6,1004.1
,2020-02-19,13.3,19.7,38.0,4.4,4.2,SSW,46,20:13,15.6,92,7,SSW,15,1009.0,18.7,63,6,SSW,22,1011.6
,2020-02-20,14.2,18.7,3.2,3.6,2.1,S,33,01:40,15.4,65,8,S,11,1015.5,17.3,60,7,SSW,15,1016.5
,2020-02-21,13.5,19.6,2.8,3.0,6.2,S,33,12:59,15.4,90,7,N,4,1019.6,18.7,55,4,S,17,1020.6
,2020-02-22,11.4,21.1,0,4.0,11.8,SSW,31,15:59,15.7,67,1,SSE,9,1023.5,20.4,52,1,SW,13,1022.2
,2020-02-23,13.3,34.0,0,5.4,11.2,NW,43,12:59,17.1,77,0, ,Calm,1020.5,32.6,37,3,N,19,1015.1
,2020-02-24,16.8,23.7,0,7.8,2.6,SSW,24,13:02,19.4,85,7,NNE,7,1018.7,20.5,88,7,SSW,9,1017.7
,2020-02-25,18.4,31.6,3.6,3.6,2.5,NNW,43,13:33,22.1,81,7,NNE,7,1011.4,29.8,38,7,NNW,20,1008.0
,2020-02-26,16.2,19.2,4.0,6.0,7.2,WSW,44,08:53,18.1,59,7,NW,11,1007.3,18.1,49,5,S,20,1011.6
,2020-02-27,11.0,19.7,0.2,4.2,5.5,NW,33,16:50,13.1,60,7,NNW,13,1013.1,18.8,47,7,W,11,1011.0
,2020-02-28,13.1,20.1,0,6.0,1.9,WNW,28,00:53,15.7,76,7,WSW,7,1015.3,18.4,64,7,SSW,9,1015.4
,2020-02-29,14.7,22.4,0,2.6,10.6,SSW,24,14:24,15.4,82,5,SW,4,1016.8,20.4,65,1,SSW,13,1014.5
